_id,name,property_type,room_type,bed_type,minimum_nights,maximum_nights,first_review,last_review,accommodates,bedrooms,beds,number_of_reviews,bathrooms,amenities,price,extra_people,guests_included,address,availability,review_scores,reviews,security_deposit,reviews_per_month,host_id,host_name,host_location,host_neighbourhood,host_listings_count,host_total_listings_count
14385513,Cool and Cosy Rooms in Kadikoy,Apartment,Private room,Real Bed,60,600,2019-01-30 05:00:00,2019-01-30 05:00:00,2,1.0,2.0,1,1.0,"['Wifi', 'Kitchen', 'Heating', 'Washer', 'Essentials', 'Shampoo', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace', 'translation missing: en.hosting_amenity_49', 'translation missing: en.hosting_amenity_50']",63.0,50.0,1,"{'street': 'Kadıköy, İstanbul, Turkey', 'suburb': 'Moda', 'government_area': 'Kadikoy', 'market': 'Istanbul', 'country': 'Turkey', 'country_code': 'TR', 'location': {'type': 'Point', 'coordinates': [29.0266, 40.99062], 'is_location_exact': False}}","{'availability_30': 30, 'availability_60': 60, 'availability_90': 90, 'availability_365': 365}","{'review_scores_accuracy': 10, 'review_scores_cleanliness': 6, 'review_scores_checkin': 10, 'review_scores_communication': 8, 'review_scores_location': 10, 'review_scores_value': 10, 'review_scores_rating': 80}","[{'_id': '406577386', 'date': datetime.datetime(2019, 1, 30, 5, 0), 'listing_id': '14385513', 'reviewer_id': '93088546', 'reviewer_name': 'Alexandre', 'comments': 'In the heart of the Moda district, a discreet host offers a pleasant place to flourish in Istanbul'}]",0.0,1.0,88341137,Sinan,"Istanbul, İstanbul, Turkey",,1,1
15103148,"SM8 - Serenity Beach - 2 Bedroom, Dressing Room",Apartment,Entire home/apt,Real Bed,32,1125,2019-02-17 05:00:00,2019-02-17 05:00:00,3,2.0,2.0,1,1.0,"['TV', 'Internet', 'Wifi', 'Air conditioning', 'Kitchen', 'Paid parking off premises', 'Heating', 'Family/kid friendly', 'Washer', 'Dryer', 'Essentials', '24-hour check-in', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace', 'Hot water', 'Luggage dropoff allowed', 'Long term stays allowed', 'Host greets you']",38.0,0.0,1,"{'street': 'Barcelona, Catalunya, Spain', 'suburb': 'Ciutat Vella', 'government_area': 'la Barceloneta', 'market': 'Barcelona', 'country': 'Spain', 'country_code': 'ES', 'location': {'type': 'Point', 'coordinates': [2.18864, 41.3815], 'is_location_exact': True}}","{'availability_30': 3, 'availability_60': 3, 'availability_90': 3, 'availability_365': 237}","{'review_scores_accuracy': 10, 'review_scores_cleanliness': 10, 'review_scores_checkin': 10, 'review_scores_communication': 10, 'review_scores_location': 10, 'review_scores_value': 10, 'review_scores_rating': 100}","[{'_id': '413288090', 'date': datetime.datetime(2019, 2, 17, 5, 0), 'listing_id': '15103148', 'reviewer_id': '226782733', 'reviewer_name': '娜', 'comments': 'Jirka is a very nice person,we really enjoy the time we live in his apartment,looking forward to nexr cooperation.'}]",0.0,1.0,89109224,Jirka,"Barcelona, Catalonia, Spain",La Barceloneta,11,11
15908244,"Quarto em casa de familia,mobiliado de frente",Apartment,Private room,Real Bed,5,30,2019-01-25 05:00:00,2019-01-25 05:00:00,1,1.0,1.0,1,1.0,"['TV', 'Wifi', 'Kitchen', 'Pets allowed', 'Elevator', 'Essentials', 'Lock on bedroom door', 'Laptop friendly workspace', 'translation missing: en.hosting_amenity_49', 'translation missing: en.hosting_amenity_50']",45.0,0.0,1,"{'street': 'Rio de Janeiro, Rio de Janeiro, Brazil', 'suburb': '', 'government_area': 'Copacabana', 'market': 'Rio De Janeiro', 'country': 'Brazil', 'country_code': 'BR', 'location': {'type': 'Point', 'coordinates': [-43.18626151607529, -22.968458869372075], 'is_location_exact': False}}","{'availability_30': 30, 'availability_60': 60, 'availability_90': 90, 'availability_365': 365}",{},"[{'_id': '404708149', 'date': datetime.datetime(2019, 1, 25, 5, 0), 'listing_id': '15908244', 'reviewer_id': '17931076', 'reviewer_name': 'Antonio Jairo', 'comments': 'The host canceled this reservation 35 days before arrival. This is an automated posting.'}]",1000.0,1.0,49434309,Iva,BR,,2,2
17140064,Bondi Beach Pad,Apartment,Entire home/apt,Real Bed,3,1125,2019-02-10 05:00:00,2019-02-23 05:00:00,7,2.0,3.0,2,1.0,"['TV', 'Internet', 'Wifi', 'Kitchen', 'Free parking on premises', 'Breakfast', 'Family/kid friendly', 'Washer', 'Dryer', 'Essentials', 'Shampoo', 'Hangers', 'Hair dryer', 'Iron', 'translation missing: en.hosting_amenity_50', 'Self check-in', 'Lockbox', 'Private living room', 'Children’s books and toys', 'Hot water', 'Bed linens', 'Extra pillows and blankets', 'Refrigerator', 'Dishwasher', 'Dishes and silverware', 'Cooking basics', 'Oven', 'Stove', 'Patio or balcony', 'Garden or backyard', 'Wide hallway clearance', 'Wide doorway', 'Well-lit path to entrance', 'Step-free access', 'Wide doorway', 'Wide clearance to bed', 'Accessible-height bed', 'Step-free access', 'Handheld shower head', 'Electric profiling bed']",350.0,50.0,3,"{'street': 'North Bondi, NSW, Australia', 'suburb': 'North Bondi', 'government_area': 'Waverley', 'market': 'Sydney', 'country': 'Australia', 'country_code': 'AU', 'location': {'type': 'Point', 'coordinates': [151.28557, -33.8906], 'is_location_exact': True}}","{'availability_30': 2, 'availability_60': 18, 'availability_90': 18, 'availability_365': 18}","{'review_scores_accuracy': 10, 'review_scores_cleanliness': 9, 'review_scores_checkin': 10, 'review_scores_communication': 10, 'review_scores_location': 10, 'review_scores_value': 9, 'review_scores_rating': 90}","[{'_id': '410242523', 'date': datetime.datetime(2019, 2, 10, 5, 0), 'listing_id': '17140064', 'reviewer_id': '9278121', 'reviewer_name': 'Jacob', 'comments': 'Spacious accommodations in a perfect location to get to know Bondi. Would be thrilled to stay here again.'}, {'_id': '415924084', 'date': datetime.datetime(2019, 2, 23, 5, 0), 'listing_id': '17140064', 'reviewer_id': '11546552', 'reviewer_name': 'Julie', 'comments': 'Great location, family friendly'}]",500.0,2.0,27924486,Natalie,"Bondi Beach, New South Wales, Australia",North Bondi,1,1
17881220,Affordable Guest Room,Boutique hotel,Private room,Real Bed,3,30,2019-02-24 05:00:00,2019-02-24 05:00:00,2,1.0,1.0,1,3.5,"['TV', 'Wifi', 'Air conditioning', 'Kitchen', 'Free parking on premises', 'Heating', 'Family/kid friendly', 'Washer', 'Dryer', 'Smoke detector', 'Carbon monoxide detector', 'First aid kit', 'Fire extinguisher', 'Essentials', 'Shampoo', 'Lock on bedroom door', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace', 'Crib', 'Hot water', 'Microwave', 'Coffee maker', 'Refrigerator', 'Dishes and silverware', 'Cooking basics', 'Oven', 'Stove', 'BBQ grill', 'Patio or balcony', 'Garden or backyard', 'Beach essentials', 'Luggage dropoff allowed', 'Host greets you']",166.0,0.0,1,"{'street': 'Haleiwa, HI, United States', 'suburb': 'Oʻahu', 'government_area': 'North Shore Oahu', 'market': 'Oahu', 'country': 'United States', 'country_code': 'US', 'location': {'type': 'Point', 'coordinates': [-158.04346, 21.6681], 'is_location_exact': True}}","{'availability_30': 30, 'availability_60': 60, 'availability_90': 90, 'availability_365': 240}","{'review_scores_accuracy': 10, 'review_scores_cleanliness': 10, 'review_scores_checkin': 10, 'review_scores_communication': 10, 'review_scores_location': 10, 'review_scores_value': 10, 'review_scores_rating': 100}","[{'_id': '416641459', 'date': datetime.datetime(2019, 2, 24, 5, 0), 'listing_id': '17881220', 'reviewer_id': '42484007', 'reviewer_name': 'Raymond', 'comments': 'Very well received and very clean room.  Great help from the owners.  Good facilities.'}]",100.0,1.0,2874260,Maria,"On the ""7 miles miracle"" known as the North Shore of Oah'u, Hawaii.",North Shore,13,13
21684913,OVERLOOKING BEACH 2 BED WIFI PARKING,House,Entire home/apt,Real Bed,7,1125,2019-03-03 05:00:00,2019-03-03 05:00:00,4,2.0,3.0,1,2.0,"['TV', 'Wifi', 'Kitchen', 'Free parking on premises', 'Heating', 'Family/kid friendly', 'Washer', 'Dryer', 'Smoke detector', 'Essentials', 'Shampoo', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace', 'Private entrance', 'Hot water', 'Long term stays allowed', 'Host greets you']",343.0,0.0,1,"{'street': 'Tamarama, NSW, Australia', 'suburb': 'Tamarama', 'government_area': 'Waverley', 'market': 'Sydney', 'country': 'Australia', 'country_code': 'AU', 'location': {'type': 'Point', 'coordinates': [151.2698, -33.89855], 'is_location_exact': True}}","{'availability_30': 30, 'availability_60': 60, 'availability_90': 90, 'availability_365': 91}","{'review_scores_accuracy': 10, 'review_scores_cleanliness': 10, 'review_scores_checkin': 10, 'review_scores_communication': 10, 'review_scores_location': 10, 'review_scores_value': 10, 'review_scores_rating': 100}","[{'_id': '419432862', 'date': datetime.datetime(2019, 3, 3, 5, 0), 'listing_id': '21684913', 'reviewer_id': '204454691', 'reviewer_name': 'Lisa', 'comments': 'What a lovely, lovely older home . The private enclosed deck allows you to open the bedroom doors , fall asleep and wake to the sounds of crashing waves and native birds on beautiful Tamarama beach . The house is atmospheric, bright light and welcoming with its large entertaining spaces and roomy galley kitchen. Lovely touches were added with a few footballs my son was able to enjoy. \nI regularly use Airbnb, I’d definitely recommend this home , it’s been one of our favorites.'}]",0.0,1.0,4298915,Awaba,"Sydney, New South Wales, Australia",Central Business District,34,34
22529830,Huge family apartment in the heart of the Plateau,Apartment,Entire home/apt,Real Bed,2,360,2019-02-19 05:00:00,2019-03-08 05:00:00,6,3.0,3.0,3,1.0,"['TV', 'Wifi', 'Kitchen', 'Free street parking', 'Heating', 'Family/kid friendly', 'Washer', 'Dryer', 'Smoke detector', 'Essentials', 'Shampoo', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace', 'Private entrance', 'Outlet covers', 'Bathtub', 'Changing table', 'High chair', 'Children’s books and toys', 'Crib', 'Pack ’n Play/travel crib', 'Children’s dinnerware', 'Game console', 'Hot water', 'Bed linens', 'Microwave', 'Coffee maker', 'Refrigerator', 'Dishes and silverware', 'Cooking basics', 'Oven', 'Stove', 'BBQ grill', 'Garden or backyard', 'Long term stays allowed', 'Host greets you']",119.0,15.0,2,"{'street': 'Montréal, Québec, Canada', 'suburb': 'Le Plateau-Mont-Royal', 'government_area': 'Le Plateau-Mont-Royal', 'market': 'Montreal', 'country': 'Canada', 'country_code': 'CA', 'location': {'type': 'Point', 'coordinates': [-73.57851, 45.52997], 'is_location_exact': True}}","{'availability_30': 0, 'availability_60': 11, 'availability_90': 23, 'availability_365': 59}","{'review_scores_accuracy': 10, 'review_scores_cleanliness': 10, 'review_scores_checkin': 10, 'review_scores_communication': 10, 'review_scores_location': 10, 'review_scores_value': 9, 'review_scores_rating': 87}","[{'_id': '414407578', 'date': datetime.datetime(2019, 2, 19, 5, 0), 'listing_id': '22529830', 'reviewer_id': '4899142', 'reviewer_name': 'Adria', 'comments': 'This is a beautiful and ideally located apartment in the Plateau. The serene and stylish atmosphere, the ease of being on the first floor (which was also very quiet thanks to good windows and thick walls), the family-friendly decor and proximity to some of our favorite secondhand book shops, cafes and restaurants made this a perfect place for us to enjoy Montreal. The natural light and comfortable furniture made the atmosphere so pleasant while we relaxed after an outing. The communication with the hosts was very quick, polite and helpful. I highly recommend it and I hope to return here on a future visit!'}, {'_id': '415768777', 'date': datetime.datetime(2019, 2, 23, 5, 0), 'listing_id': '22529830', 'reviewer_id': '28727504', 'reviewer_name': 'Joelle', 'comments': 'Appartement très bien placé sur le Plateau-Mont-Royal \nTrès agréable \nExcellente réactivité des propriétaires et d’Antoine \nTrès aisé de récupérer et de laisser les clés \nNous recommandons'}, {'_id': '421100107', 'date': datetime.datetime(2019, 3, 8, 5, 0), 'listing_id': '22529830', 'reviewer_id': '41907228', 'reviewer_name': 'Nicolas', 'comments': 'Très bonne adresse!'}]",500.0,3.0,1929936,Martine&François,"Montreal, Quebec, Canada",Le Plateau,1,1
23896389,Design apartment with amazing views,Apartment,Entire home/apt,Real Bed,32,1125,2019-02-27 05:00:00,2019-02-27 05:00:00,2,1.0,1.0,1,1.0,"['TV', 'Wifi', 'Air conditioning', 'Wheelchair accessible', 'Kitchen', 'Doorman', 'Elevator', 'Buzzer/wireless intercom', 'Heating', 'Washer', 'Dryer', 'Essentials', 'Hangers', 'Hair dryer', 'Iron']",75.0,0.0,2,"{'street': 'Barcelona, CT, Spain', 'suburb': 'Gràcia', 'government_area': 'la Vila de Gràcia', 'market': 'Barcelona', 'country': 'Spain', 'country_code': 'ES', 'location': {'type': 'Point', 'coordinates': [2.15076, 41.4069], 'is_location_exact': False}}","{'availability_30': 0, 'availability_60': 26, 'availability_90': 28, 'availability_365': 303}",{},[],400.0,1.0,7168856,David,"Barcelona, Catalonia, Spain",L'Antiga Esquerra de l'Eixample,8,8
20945783,Brand New Studio ~ Great for business!,Serviced apartment,Entire home/apt,Real Bed,30,1125,2019-02-11 05:00:00,2019-02-11 05:00:00,2,0.0,1.0,1,1.0,"['TV', 'Cable TV', 'Internet', 'Wifi', 'Air conditioning', 'Pool', 'Kitchen', 'Gym', 'Elevator', 'Heating', 'Washer', 'Dryer', 'Smoke detector', 'Carbon monoxide detector', 'Essentials', 'Shampoo', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace', 'Self check-in', 'Keypad', 'High chair', 'Hot water', 'Microwave', 'Coffee maker', 'Refrigerator', 'Dishwasher', 'Dishes and silverware', 'Cooking basics', 'Oven', 'Stove', 'Luggage dropoff allowed', 'Long term stays allowed', 'Paid parking on premises']",60.0,0.0,1,"{'street': 'Montréal, Québec, Canada', 'suburb': 'Downtown Montreal', 'government_area': 'Ville-Marie', 'market': 'Montreal', 'country': 'Canada', 'country_code': 'CA', 'location': {'type': 'Point', 'coordinates': [-73.5761, 45.49295], 'is_location_exact': True}}","{'availability_30': 6, 'availability_60': 36, 'availability_90': 66, 'availability_365': 341}","{'review_scores_accuracy': 8, 'review_scores_cleanliness': 10, 'review_scores_checkin': 10, 'review_scores_communication': 8, 'review_scores_location': 10, 'review_scores_value': 10, 'review_scores_rating': 80}","[{'_id': '411203898', 'date': datetime.datetime(2019, 2, 11, 5, 0), 'listing_id': '20945783', 'reviewer_id': '227067745', 'reviewer_name': 'Barry', 'comments': 'Very clean, modern, excellent downtown location. Within walking distance to everything we needed. Would definitely stay again.'}]",300.0,1.0,38459934,Alejandro,"Montreal, Québec, Canada",Downtown Montreal,256,256
2231059,Bonito y cómodo loft en el centro,Apartment,Entire home/apt,Real Bed,3,15,2019-03-04 05:00:00,2019-03-04 05:00:00,3,1.0,2.0,1,1.0,"['Internet', 'Kitchen', 'Smoking allowed', 'Pets allowed', 'Family/kid friendly', 'Essentials', 'Hangers', 'Hot water', 'Bed linens', 'Extra pillows and blankets']",100.0,40.0,3,"{'street': 'Barcelona, Catalonia, Spain', 'suburb': 'Ciutat Vella', 'government_area': 'el Raval', 'market': 'Barcelona', 'country': 'Spain', 'country_code': 'ES', 'location': {'type': 'Point', 'coordinates': [2.16375, 41.37956], 'is_location_exact': False}}","{'availability_30': 0, 'availability_60': 3, 'availability_90': 3, 'availability_365': 69}",{},"[{'_id': '419603111', 'date': datetime.datetime(2019, 3, 4, 5, 0), 'listing_id': '2231059', 'reviewer_id': '106390681', 'reviewer_name': 'Lauriane', 'comments': 'The host canceled this reservation 43 days before arrival. This is an automated posting.'}]",150.0,1.0,11387473,Alberto,"Sant Pere de Ribes, Catalonia, Spain",,1,1
